from https://www2.pvlighthouse.com.au/resources/optics/spectrum%20library/spectrum%20library.aspx
Wavelength 	Spectral irradiance 	Cumulative photon flux
nm      	W⋅m–2⋅nm–1 	cm–2⋅s–1
 
716.000	1.24750	1.34712E+17
717.000	1.11250	1.35113E+17
718.000	1.02513	1.35484E+17
719.000	0.942375	1.35825E+17
720.000	0.987375	1.36182E+17
721.000	1.08788	1.36577E+17
722.000	1.20750	1.37015E+17
723.000	1.14125	1.37431E+17
724.000	1.06000	1.37817E+17
725.000	1.04625	1.38198E+17
726.000	1.07500	1.38591E+17
727.000	1.07500	1.38984E+17
728.000	1.04500	1.39367E+17
729.000	1.05125	1.39752E+17
730.000	1.11125	1.40161E+17
731.000	1.08750	1.40560E+17
732.000	1.14500	1.40982E+17
733.000	1.19000	1.41421E+17
734.000	1.22250	1.41872E+17
735.000	1.21125	1.42320E+17
736.000	1.20125	1.42765E+17
737.000	1.20250	1.43211E+17
738.000	1.21375	1.43662E+17
739.000	1.19750	1.44107E+17
740.000	1.21500	1.44559E+17
741.000	1.21125	1.45011E+17
742.000	1.21375	1.45464E+17
743.000	1.23750	1.45926E+17
744.000	1.24875	1.46394E+17
745.000	1.24875	1.46862E+17
746.000	1.24125	1.47328E+17
747.000	1.24000	1.47794E+17
748.000	1.23875	1.48260E+17
749.000	1.23125	1.48724E+17
750.000	1.23000	1.49188E+17
751.000	1.23000	1.49653E+17
752.000	1.22875	1.50118E+17
753.000	1.22375	1.50581E+17
754.000	1.23625	1.51050E+17
755.000	1.23000	1.51517E+17
756.000	1.22125	1.51982E+17
757.000	1.22125	1.52447E+17
758.000	1.22375	1.52914E+17
759.000	1.07938	1.53326E+17
760.000	0.366750	1.53466E+17
761.000	0.234375	1.53556E+17
762.000	0.581000	1.53778E+17
763.000	0.436375	1.53946E+17
764.000	0.535500	1.54152E+17
765.000	0.681625	1.54414E+17
766.000	0.815875	1.54729E+17
767.000	0.968500	1.55102E+17
768.000	1.09388	1.55525E+17
769.000	1.12375	1.55960E+17
770.000	1.15625	1.56408E+17
771.000	1.16875	1.56861E+17
772.000	1.17000	1.57315E+17
773.000	1.17000	1.57770E+17
774.000	1.17000	1.58226E+17
775.000	1.17125	1.58683E+17
776.000	1.17750	1.59142E+17
777.000	1.17125	1.59600E+17
778.000	1.17000	1.60058E+17
779.000	1.16875	1.60516E+17
780.000	1.16125	1.60972E+17
781.000	1.16000	1.61428E+17
782.000	1.16000	1.61884E+17
783.000	1.15875	1.62341E+17
784.000	1.15250	1.62795E+17
785.000	1.15875	1.63253E+17
786.000	1.15750	1.63710E+17
787.000	1.14125	1.64162E+17
788.000	1.13000	1.64610E+17
789.000	1.11750	1.65054E+17
790.000	1.09500	1.65489E+17
791.000	1.09750	1.65926E+17
792.000	1.09000	1.66360E+17
793.000	1.08250	1.66792E+17
794.000	1.08875	1.67227E+17
795.000	1.08750	1.67662E+17
796.000	1.07500	1.68092E+17
797.000	1.09000	1.68530E+17
798.000	1.10500	1.68973E+17
799.000	1.09000	1.69411E+17
800.000	1.07375	1.69843E+17
801.000	1.07875	1.70278E+17
802.000	1.07750	1.70713E+17
803.000	1.06500	1.71143E+17
804.000	1.07375	1.71578E+17
805.000	1.05875	1.72006E+17
806.000	1.08375	1.72446E+17
807.000	1.08125	1.72885E+17
808.000	1.07625	1.73322E+17
809.000	1.05375	1.73751E+17
810.000	1.05000	1.74179E+17
811.000	1.04625	1.74606E+17
812.000	1.02250	1.75024E+17
813.000	0.997625	1.75432E+17
814.000	0.913625	1.75806E+17
815.000	0.886125	1.76169E+17
816.000	0.840250	1.76514E+17
817.000	0.843000	1.76861E+17
818.000	0.834000	1.77204E+17
819.000	0.887125	1.77569E+17
820.000	0.881500	1.77933E+17
821.000	0.972250	1.78335E+17
822.000	0.920000	1.78715E+17
823.000	0.738375	1.79021E+17
824.000	0.903750	1.79395E+17
825.000	0.958125	1.79793E+17
826.000	0.941875	1.80185E+17
827.000	0.958750	1.80583E+17
828.000	0.873875	1.80947E+17
829.000	0.915250	1.81329E+17
830.000	0.915750	1.81712E+17
831.000	0.916375	1.82095E+17
832.000	0.903375	1.82473E+17
833.000	0.943375	1.82868E+17
834.000	0.942500	1.83264E+17
835.000	0.987625	1.83679E+17
836.000	0.978750	1.84090E+17
837.000	1.00325	1.84513E+17
838.000	0.998000	1.84933E+17
839.000	0.999250	1.85355E+17
840.000	1.00850	1.85781E+17
841.000	1.00800	1.86208E+17
842.000	0.996750	1.86630E+17
843.000	0.997125	1.87053E+17
844.000	0.988500	1.87473E+17
845.000	1.00788	1.87901E+17
846.000	1.01488	1.88333E+17
847.000	0.992875	1.88756E+17
848.000	0.988250	1.89178E+17
849.000	0.972250	1.89593E+17
850.000	0.912625	1.89983E+17
851.000	0.961250	1.90395E+17
852.000	0.967000	1.90809E+17
853.000	0.948500	1.91217E+17
854.000	0.870750	1.91591E+17
855.000	0.909875	1.91982E+17
856.000	0.964875	1.92398E+17
857.000	0.986625	1.92823E+17
858.000	0.989000	1.93250E+17
859.000	0.988500	1.93677E+17
860.000	0.985375	1.94103E+17
861.000	0.985125	1.94530E+17
862.000	0.991750	1.94960E+17
863.000	0.994500	1.95392E+17
864.000	0.976750	1.95817E+17
865.000	0.947875	1.96229E+17
866.000	0.869375	1.96608E+17
867.000	0.910125	1.97005E+17
868.000	0.949500	1.97419E+17
869.000	0.950375	1.97835E+17
870.000	0.961000	1.98256E+17
871.000	0.954375	1.98674E+17
872.000	0.961125	1.99095E+17
873.000	0.953250	1.99514E+17
874.000	0.938250	1.99927E+17
875.000	0.929000	2.00336E+17
876.000	0.947125	2.00753E+17
877.000	0.952250	2.01173E+17
878.000	0.948375	2.01592E+17
879.000	0.936375	2.02006E+17
880.000	0.932750	2.02419E+17
881.000	0.912875	2.02824E+17
882.000	0.926625	2.03235E+17
883.000	0.927750	2.03647E+17
884.000	0.931125	2.04061E+17
885.000	0.935875	2.04478E+17
886.000	0.910000	2.04884E+17
887.000	0.909125	2.05289E+17
888.000	0.920000	2.05700E+17
889.000	0.929125	2.06116E+17
890.000	0.922625	2.06529E+17
891.000	0.920625	2.06942E+17
892.000	0.903750	2.07347E+17
893.000	0.872625	2.07739E+17
894.000	0.847000	2.08120E+17
895.000	0.809375	2.08485E+17
896.000	0.754375	2.08825E+17
897.000	0.682500	2.09133E+17
898.000	0.688375	2.09444E+17
899.000	0.592250	2.09712E+17
900.000	0.698125	2.10028E+17
901.000	0.624250	2.10311E+17
902.000	0.660125	2.10610E+17
903.000	0.703750	2.10930E+17
904.000	0.819250	2.11302E+17
905.000	0.813125	2.11673E+17
906.000	0.761250	2.12020E+17
907.000	0.655625	2.12319E+17
908.000	0.654875	2.12618E+17
909.000	0.685625	2.12932E+17
910.000	0.638250	2.13224E+17
911.000	0.663250	2.13528E+17
912.000	0.676875	2.13838E+17
913.000	0.634250	2.14130E+17
914.000	0.631625	2.14420E+17
915.000	0.657000	2.14723E+17
916.000	0.606750	2.15002E+17
917.000	0.691750	2.15321E+17
918.000	0.626375	2.15611E+17
919.000	0.719375	2.15943E+17
920.000	0.745875	2.16288E+17
921.000	0.763500	2.16642E+17
922.000	0.713625	2.16973E+17
923.000	0.734375	2.17314E+17
924.000	0.720750	2.17649E+17
925.000	0.709250	2.17979E+17
926.000	0.712500	2.18311E+17
927.000	0.749875	2.18661E+17
928.000	0.607875	2.18945E+17
929.000	0.539875	2.19197E+17
930.000	0.443000	2.19404E+17
931.000	0.397375	2.19590E+17
932.000	0.307000	2.19734E+17
933.000	0.241375	2.19848E+17
934.000	0.169500	2.19927E+17
935.000	0.225500	2.20033E+17
936.000	0.172375	2.20115E+17
937.000	0.167375	2.20194E+17
938.000	0.220125	2.20297E+17
939.000	0.382250	2.20478E+17
940.000	0.448625	2.20690E+17
941.000	0.387500	2.20874E+17
942.000	0.384125	2.21056E+17
943.000	0.294625	2.21195E+17
944.000	0.294375	2.21335E+17
945.000	0.335125	2.21495E+17
946.000	0.237625	2.21608E+17
947.000	0.335875	2.21768E+17
948.000	0.312625	2.21917E+17
949.000	0.422250	2.22118E+17
950.000	0.232125	2.22229E+17
951.000	0.413375	2.22427E+17
952.000	0.304125	2.22573E+17
953.000	0.343625	2.22738E+17
954.000	0.402625	2.22931E+17
955.000	0.348750	2.23098E+17
956.000	0.321500	2.23253E+17
957.000	0.300875	2.23398E+17
958.000	0.425375	2.23603E+17
959.000	0.389625	2.23791E+17
960.000	0.418375	2.23993E+17
961.000	0.452500	2.24212E+17
962.000	0.451250	2.24430E+17
963.000	0.490250	2.24668E+17
964.000	0.468500	2.24895E+17
965.000	0.496250	2.25136E+17
966.000	0.501125	2.25379E+17
967.000	0.519625	2.25632E+17
968.000	0.635625	2.25942E+17
969.000	0.673375	2.26270E+17
970.000	0.649250	2.26587E+17
971.000	0.698875	2.26928E+17
972.000	0.679125	2.27260E+17
973.000	0.611250	2.27559E+17
974.000	0.579625	2.27843E+17
975.000	0.584000	2.28130E+17
976.000	0.580625	2.28415E+17
977.000	0.625625	2.28723E+17
978.000	0.618875	2.29027E+17
979.000	0.629000	2.29337E+17
980.000	0.620625	2.29643E+17
981.000	0.694875	2.29986E+17
982.000	0.689750	2.30327E+17
983.000	0.678375	2.30662E+17
984.000	0.720375	2.31019E+17
985.000	0.700000	2.31366E+17
986.000	0.739625	2.31732E+17
987.000	0.738000	2.32099E+17
988.000	0.735250	2.32464E+17
989.000	0.743125	2.32834E+17
990.000	0.734750	2.33200E+17
991.000	0.748125	2.33573E+17
992.000	0.747500	2.33946E+17
993.000	0.738875	2.34315E+17
994.000	0.749625	2.34690E+17
995.000	0.749875	2.35066E+17
996.000	0.746250	2.35439E+17
997.000	0.739000	2.35810E+17
998.000	0.737000	2.36180E+17
999.000	0.735750	2.36550E+17
1000.00	0.734500	2.36919E+17
1001.00	0.738875	2.37292E+17
1002.00	0.728750	2.37659E+17
1003.00	0.729875	2.38027E+17
1004.00	0.717250	2.38390E+17
1005.00	0.689000	2.38738E+17
1006.00	0.708875	2.39097E+17
1007.00	0.723250	2.39463E+17
1008.00	0.724125	2.39830E+17
1009.00	0.718750	2.40195E+17
1010.00	0.717625	2.40560E+17
1011.00	0.720000	2.40926E+17
1012.00	0.717375	2.41291E+17
1013.00	0.716500	2.41656E+17
1014.00	0.717000	2.42022E+17
1015.00	0.708000	2.42384E+17
1016.00	0.707625	2.42745E+17
1017.00	0.703375	2.43105E+17
1018.00	0.707500	2.43468E+17
1019.00	0.691375	2.43822E+17
1020.00	0.696125	2.44179E+17
1021.00	0.698125	2.44538E+17
1022.00	0.690125	2.44893E+17
1023.00	0.691875	2.45249E+17
1024.00	0.690375	2.45605E+17
1025.00	0.694875	2.45963E+17
1026.00	0.693875	2.46321E+17
1027.00	0.691500	2.46678E+17
1028.00	0.690875	2.47036E+17
1029.00	0.685625	2.47391E+17
1030.00	0.687875	2.47747E+17
1031.00	0.685625	2.48103E+17
1032.00	0.684375	2.48458E+17
1033.00	0.676000	2.48809E+17
1034.00	0.677750	2.49162E+17
1035.00	0.679750	2.49516E+17
1036.00	0.679125	2.49870E+17
1037.00	0.673500	2.50221E+17
1038.00	0.670875	2.50572E+17
1039.00	0.673000	2.50923E+17
1040.00	0.670500	2.51274E+17
1041.00	0.670000	2.51625E+17
1042.00	0.669125	2.51976E+17
1043.00	0.664250	2.52324E+17
1044.00	0.665250	2.52674E+17
1045.00	0.661125	2.53021E+17
1046.00	0.648500	2.53363E+17
1047.00	0.654500	2.53707E+17
1048.00	0.659750	2.54055E+17
1049.00	0.657000	2.54402E+17
1050.00	0.653500	2.54747E+17
1051.00	0.652500	2.55092E+17
1052.00	0.649250	2.55436E+17
1053.00	0.647000	2.55779E+17
1054.00	0.645500	2.56121E+17
1055.00	0.646500	2.56464E+17
1056.00	0.645000	2.56807E+17
1057.00	0.642375	2.57148E+17
1058.00	0.634500	2.57486E+17
1059.00	0.621500	2.57817E+17
1060.00	0.630000	2.58153E+17
1061.00	0.622375	2.58485E+17
1062.00	0.628250	2.58821E+17
1063.00	0.623375	2.59154E+17
1064.00	0.628500	2.59491E+17
1065.00	0.625875	2.59826E+17
1066.00	0.617000	2.60157E+17
1067.00	0.618375	2.60489E+17
1068.00	0.614000	2.60819E+17
1069.00	0.591375	2.61137E+17
1070.00	0.602250	2.61461E+17
1071.00	0.613375	2.61792E+17
1072.00	0.612625	2.62122E+17
1073.00	0.605750	2.62449E+17
1074.00	0.614125	2.62781E+17
1075.00	0.597375	2.63104E+17
1076.00	0.609000	2.63434E+17
1077.00	0.604125	2.63761E+17
1078.00	0.602250	2.64088E+17
1079.00	0.602000	2.64414E+17
1080.00	0.594750	2.64738E+17
1081.00	0.582250	2.65054E+17
1082.00	0.587875	2.65374E+17
1083.00	0.592625	2.65697E+17
1084.00	0.581250	2.66014E+17
